track_num,action
0,1
1,1
2,1
3,2
4,1
5,1
6,1
7,2
8,0
9,0
10,2
11,1
12,1
13,2
14,1
15,0
16,1
17,1
18,0
19,1
20,2
21,1
22,1
23,0
24,2
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,2
41,2
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,2
52,1
53,0
54,0
55,2
56,2
57,1
58,1
59,0
60,0
61,1
62,1
63,2
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,2
76,2
77,1
78,1
79,2
80,1
81,1
82,1
83,1
84,1
85,2
86,2
87,1
88,1
89,2
90,0
91,1
92,0
93,1
94,1
95,1
96,2
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,2
116,1
117,1
118,1
119,1
120,2
121,0
122,2
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,2
135,2
136,1
137,1
138,0
139,0
140,2
141,0
142,1
143,0
144,1
145,2
